user_answer,right_answer,score,Similarly
The tennis player hit the ball into outer space and broke the death star.,A female tennis player is leaping into the air to hit the ball.,0.24,46.682365
A boy climbs a forest hill.,A boy is climbing a hill.,0.8,83.19018
Blond boy jumping onto deck.,A boy jumping down a wet inflatable slide.,0.4,56.261517
A man uses a chainsaw to sculpt a phallic ice sculpture.,A man is using a chainsaw to carve a wooden sculpture.,0.52,75.6376
A group of male construction workers repair railroad tracks on a cloudy day,A crew of workers working on a railroad track.,0.76,64.95134
The girl has something on her head.,The woman has something with her.,0.52,42.779705
People making a structure out of cards.,Two people are together and one is using a piece of clothing in a different way than intended.,0.04,29.452595
There are four people outside.,Five people are outside.,0.6,70.34535
Girls are holding hands in blue clothes,The young people are wearing jeans with their red and green shirts.,0.36,32.59947
A man is demonstrating how to work with clay while at least two people observe.,At least one of the three women is talking to the others.,0.12,10.806428
A dog has a sweater on.,A man in a suit jacket is sitting on a red couch with a cat.,0.12,31.674543
Sculptor applying concrete to large statue of human figure standing with no head.,A person is standing in front of a building holding aloft some plywood,0.04,36.84773
A boy with dark hair is in water and is looking up.,The man is short hair.,0.12,30.810461
A pole is behind a person that is playing peekaboo with a child.,There is a child with a ball,0.04,41.094753
A woman is about to paint.,A boy is about to take a picture.,0.2,6.7752895
a man working at the steel mill,A man working in a foundry.,0.68,64.955696
The young woman is flirting with the young boy.,The girl is young and cheery.,0.28,25.481588
the men are about to score in a water polo tournament,The two men are about to compete in a match.,0.4,54.638176
A man eats popcorn while watching cartoons late one night.,A man and a girl are watching cartoons at home,0.56,39.39479
Three men sit on a bench.,two men sit on a bench.,0.64,71.61278
The road is long.,There is nothing on the side of the road.,0.16,41.20332
a young man wearing a white t-shirt and green and black shorts standing on a stump.,A man wearing a white shirt and red and black shorts is running on the sidewalk.,0.36,43.413837
A dog under the stairs,A dog is resting on the stairs.,0.44,79.68296
Two women give a demonstration at a Renaissance Fair.,Two people are doing a demonstration at a renaissance fair.,0.84,84.69736
Some guy sitting on a couch watching television.,A guy is sitting on the couch watching TV,1.0,90.44507
A woman is posing for a Christmas card.,A girl is taking a photo.,0.24,26.277245
A man is working on his farm.,An old guy is working on his farm and a cow kicks him.,0.56,65.74064
A girl is talking to her dad on a cellphone.,a girl is talking on her phone.,0.88,66.96182
One person wields an umbrella.,One person is holding an umbrella.,0.88,91.28772
A group of teenagers jumping and having a good time.,A group of kids having a good time.,0.72,61.81569
A man is playing his guitar at Joe's Cafe.,The man is playing the drums for his mom.,0.24,26.787495
Someone is on a blanket.,The person is making a blanket.,0.28,88.79534
The man has a orange shirt.,The woman has a orange shirt.,0.68,67.7295
The two kids look at the products sold inside the subway shop.,The kids are stealing from a store.,0.16,44.4864
The baby boy wants his mother.,A baby boy is happy to see his mother.,0.56,71.315346
A boy is very close to a girl.,A girl is close to a boy whose face is not shown.,0.64,80.582954
Six children are cleaning a room.,Two male children cleaning up leaves in a parking lot.,0.32,46.67241
There is a cook preparing food.,A cook is making food.,1.0,92.772446
Two men are helping a boy.,Two men are with a young child.,0.72,67.16037
Two skiing people are doing cross country skiing.,People skiing cross country.,0.72,85.547844
A dog taking a poop in the street.,A man making balloon animals for two children on a street corner.,0.08,14.729116
A kid is talking in class.,A girl is going to class.,0.36,63.23591
The women are trying to sell something to the individual.,The men are trying to make some money.,0.24,49.805836
People are waiting for the fireworks to start.,Three people are waiting for the rain to stop.,0.24,49.380795
A dog prepares to herd three sheep with horns.,A dog and sheep run together.,0.44,65.0984
People gathered in a room.,People gathered together in a room.,1.0,98.170815
The woman in overalls paints a picture for her wall.,A woman is painting her wall white.,0.52,70.36701
Adding aspirin to the water could kill the plant.,Men are trying to remove oil from a body of water.,0.0,15.581888
The woman is wearing yellow.,The woman is wearing red.,0.56,47.288506
A man is doing a stunt on his bicycle.,A man is doing a wheelie on his motorcycle.,0.64,53.579216
Ten people riding ATVs.,4 people are riding bikes,0.32,42.591305
A yellow vested person is doing road work.,A person is doing very well on their skateboard.,0.04,37.161972
Two workers are sitting next to pipes eating lunch,The construction workers are sitting down to eat lunch.,0.76,68.62167
A group of people living in the desert,A group of people in the middle of the desert.,0.8,88.658295
Two kids are swimming.,Six kids are going swimming.,0.56,66.26906
people getting their dirty clothes cleaned,People are getting their clothes cleaned.,1.0,94.606606
The children are holding musical instruments.,A group of children are singing and playing instruments,0.68,76.04397
A group of people are wearing police uniforms conducting an arrest.,A group of police officers are wearing protection.,0.56,70.94451
the man is planning to shoot a wedding,the woman is going to a wedding.,0.28,49.448914
The child's bike got wet.,She is putting away the bike.,0.24,43.202305
A soldier walks a dog.,A man walks a dog.,0.64,68.84912
A shirtless woman is operating a lawn mower.,A girl is mowing the grass with a lawn mower.,0.6,62.484802
The two officers are driving,Two officers are on horses.,0.44,57.617306
The lady looks sad because no one is buying her wares.,The lady is selling things.,0.4,51.20725
A flock of birds hovered over the sandy beach.,Birds are flying at a beach.,0.76,78.49461
people walk home,People waiting.,0.32,28.488508
A man is laughing with a woman,A man and a woman laughing.,0.96,91.53851
He is about to run into the boat,The man is getting his boat clean to take it out on the water.,0.24,45.76592
2 Cows are in a field.,Two sheep are in a field.,0.48,70.44485
A wet child enjoys the summer.,A woman is enjoying the summer weather.,0.36,59.23272
The girl has a driver's license,A man has a driver's license.,0.52,47.01612
People on motorcycles wearing racing gear ride around a racetrack,People on motorcycles ride around a racetrack,0.76,93.65698
A man is standing on the ground with a paintbrush,A man with a crutch lying on the ground.,0.24,37.928547
The kids are at the theater watching a movie.,it is picture day for the boys,0.04,7.0443416
Two women walk down the sidewalk to the store.,Two women walk down the sidewalk in the afternoon.,0.76,67.80395
A man has his son on his back,A man spent his time with his son.,0.48,74.20027
A group of dark-skinned people are walking past barbed wire.,Two women are gossiping by a fence.,0.08,24.999342
Zombies parading around eating brains.,The zombies are eating flesh together.,0.68,70.77476
A group of people are sitting at at a beach on towels watching the Blue Angels.,A group of people are sitting at a beach watching the Blue Angels.,0.84,89.909805
Three people are meeting for coffee.,Two people make coffee.,0.48,65.24644
A young girl with dirt on her face and a red child's bike is in the background.,The old woman in shorts and a white t-shirt is standing on a path watching children play.,0.16,19.14915
A line of scooters are parking in the middle of a street.,A line of motor bikes are parked in the middle of a street.,0.88,72.2418
A man holding a cat.,A man holding a dog.,0.6,62.393665
The cats are running through the grass.,Some dogs running through the park.,0.4,42.62521
The two boys are playing kick ball back and forth to each other.,The players are kicking each other while attempting to kick the ball.,0.6,61.21192
Two girls are running.,Three boys are running.,0.44,38.05889
A little girl in a white blouse and blue pants frolics on the grass.,A woman in a green shirt and white pants golfs on the green.,0.36,31.814325
A man in a white shirt and hat playing a guitar.,A man in a green shirt and black hat playing a guitar on stage.,0.56,61.88345
A black hooded man is using a large magnifying glass to look at a booklet.,A white hooded woman is using a magnifying glass to look at a booklet.,0.56,72.67556
the people are running a marathon,People are running a marathon,1.0,97.38657
A group of people are nervous about crossing the water.,A group of people are on the water.,0.44,66.40866
A group of kids are having a jumping contest.,A group of kids are having a sleepover.,0.24,37.641613
The person is wearing a fedora.,A man is wearing a uniform.,0.32,22.985245
A woman and a man embrace while watching a horror movie.,A man and a woman watch a movie together.,0.56,70.51765
A man in a blue dress shirt.,A man in a white shirt and blue pants is talking with a woman in a pink shirt.,0.36,35.991905
A couple is playing the game of Life.,The family is playing a game together.,0.52,53.691692
The head of a child with dark glasses is in focus.,There is a woman with a full head of hair.,0.04,27.33497
A maintenance guy is repairing a net on a tennis court.,A man removing a tennis net.,0.48,71.75418
A kid sits on a soccer ball outside.,A kid sitting on a soccer ball at the park.,0.84,87.97145
A man in a brown coat rubs his nose.,A bald man with a red beard holds his hand near his mouth.,0.44,38.61677
The dog is chasing the geese.,One dog is chasing the other.,0.32,56.98855
Small child playing with letter P,2 young girls are sitting in front of a bookcase and 1 is reading a book.,0.16,14.283806
A brown dog is jumping.,A brown dog is jumping,1.0,99.78119
A group of teenagers in red shirts are smiling.,A group of people are wearing orange shirts.,0.24,42.90129
"I remained under the banyan tree, exhausted by my daily ritual of dragooning the men every two hours. ","I remained under the banyan tree, exhausted by my daily ritual of herding the cats every two hours. ",0.6,86.22912
"In the US, it will depend on the school.",It really depends on the school and the program.,0.6,84.44875
There's also what the string is made of.,There is also a Youtube-Version of the film.,0.0,13.181992
You also imply you may not be paid if they cannot place you with a client.,"You can do it, but you might not be a professor.",0.0,25.165888
I did this one time as well.,I have this habit as well.,0.4,46.009914
"You just have to base your answer on what you do know, which is what you want.","You may want it, but the process given to you is what you have to work within.",0.0,30.437136
You do not need to worry.,You don't have to worry.,1.0,91.18889
You should do it.,You should do what it says.,0.6,69.011604
You should just ask your boss what he wants you to do.,"You should listen to your boss, because you're not paid to tell the boss what to do.",0.4,62.28224
You need to read a lot to know what you like and what you don't.,"You have to decide how much you want to demand, and what unmet demands you can live with.",0.0,26.309086
It depends on what you want to have in your tank.,i think it depends what you want:,0.4,43.49915
"You can do it, too.","Yes, you can do it.",1.0,66.51521
You should do it.,"You can do it, too.",0.2,51.72824
You have to decide what you want to get out of this.,You have to know what you want to do.,0.8,55.964767
I have few suggestions for you:,I have two suggestions for you:,0.8,90.28502
You want to start in the room that is the largest to make sure you have the straightest start.,"You will have to start with the clinic., and maybe move on to the insurance company.",0.2,7.879451
"if you don't want to derail the meeting, but the key is to speak up.",The key thing you need to do in this meeting is listen.,0.2,75.3349
Unfortunately the answer to your question is we simply do not know.,"My answer to your question is ""Probably Not"".",0.2,50.443775
As soon as possible.,Start them as early as possible.,0.8,37.05239
"You just have to base your answer on what you do know, which is what you want.","It depends on what you want to do next, and where you want to do it.",0.2,24.756298
The answer to both questions is: Yes.,The answer to both of your questions is yes.,1.0,87.52711
To give this an answer:,I'll answer this question:,0.8,61.47728
Unfortunately the answer to your question is we simply do not know.,"Sorry, I don't know the answer to your question.",0.8,63.559414
The rule - When in doubt throw it out!,"I always go by the rule ""When in doubt, throw it out!",0.8,85.666275
This is not a good idea.,This sound like a very bad idea.,0.8,71.54765
"Yes, it's probably a good idea to renew your passport.",It's a good idea.,0.6,32.034874
It probably depends on the cut of meat.,It depends on the meat and how it's cut.,0.8,97.095085
It's not a good idea.,It's a good question.,0.0,33.302643
It's pretty much up to you.,It's much better to ask.,0.0,28.084612
"Yes, there is a reason for it.","Yes, that is exactly what it means.",0.2,31.434822
Have you tried asking your employees?,Have you tried asking?,0.8,56.100346
You guys are making this all WAAAAAY too complicated.,You are making this too complicated.,1.0,73.08481
You don't have to know.,You have no need to do anything.,0.4,42.694305
There are two things to consider:,There are two possible causes for this:,0.8,6.449408
Work into it slowly.,It seems to work.,0.0,33.322517
You can buy it on amazon for $5.,You can buy it on ebay for $25 and up.,0.4,79.68078
"The coffee simply picks up the aluminum from the pot, as the coffee is acidic.",One idea is cleaning the coffee residue from the coffee pot.,0.2,48.001163
There are two ways to start with: plunging and dripping.,There are two traditional ways to bend wood:,0.0,27.24871
You might have to try a variety before you find one that clicks with him.,My advice would be to try a variety of coffees that you can afford and find one you like.,0.4,32.52275
It's not a good idea.,It is not a good idea.,1.0,95.85336
"You just have to base your answer on what you do know, which is what you want.","They can, but the way to do it depends on what you have available.",0.2,11.147991
"Yes, you should mention your experience.","Yes, you should mention it.",0.6,60.48778
From what I understand this is what you can do :,Can you do this?,0.4,38.36502
Take a look at these:,Take a look at this: ,1.0,80.330505
I'd say it primarily depends on two things:,I'd say it depends on the ultimate outcome you want?,0.4,58.349026
Some of what you can do:,Not much you can do besides:,0.2,69.3114
This is not a good idea.,But it is not a good idea.,1.0,76.82171
"The answers so far are already good, but I'd like to add a map for Switzerland:","You have a lot of answers already, but I'd like to add Curries as another solutions.",0.0,25.212753
I was in a similar situation.,I had a similar situation.,1.0,90.530624
I've had this same problem.,I had this same problem.,1.0,94.56705
There is no maximum.,There is no quarantine period.,0.0,16.419931
I am not sure this is the right site for the question.,I am not sure this question would have made much sense to the Romans themselves.,0.4,24.177307
"It depends on what you want to do next, and where you want to do it.","In other words, it depends on where you go, when you do there and how.",0.8,55.113327
You need to read a lot to know what you like and what you don't.,"Yes, you should create a portfolio site to showcase what you can do and what you've done.",0.0,21.369917
You are not disclosing key info.,No you are not.,0.4,18.610195
"It depends on what you want to do next, and where you want to do it.",I guess it depends on what you're going to do.,0.6,71.2664
"You just have to base your answer on what you do know, which is what you want.",It is his job to see that you have what you need to do your job.,0.0,25.22873
"It depends on what you want to do next, and where you want to do it.",It depends on what you want to achieve.,0.6,72.65651
This is a problem that the professor has to deal with.,This is a big problem.,0.2,49.936993
This is a very unusual request.,This sounds a bit unusual.,0.6,48.549618
It very much depends on the grant in question.,I think it depends very much on the area.,0.4,34.59097
I have the same thing.,I have had the same problem.,0.8,72.586655
No it does not affect your ratings.,No it is not.,0.0,8.064909
"My answer to your question is ""Probably Not"".",I think that the short  answer to your question is: No.,0.8,60.07653
I don't think it makes any tremendous difference.,I don't think it makes much difference.,0.8,92.56278
It depends on what they are.,"It depends on what they are evaluating, and how.",0.4,42.304886
There's not a lot you can do about that.,There's not that much that you can do with a sourdough starter.,0.4,26.381832
You answered your own question.,You have answered your own question.,1.0,89.68433
"You just have to base your answer on what you do know, which is what you want.",Th answer to you problem is that you dont actually know what you're getting in .,0.4,52.625263
This is not a good idea.,This is probably not a good idea but I will suggest it anyhow.,0.4,62.768982
The best thing you can do is to know your stuff.,"My recommendation is not to say anything, and do the best you can.",0.0,43.747295
I'd say it primarily depends on two things:,I'd say it depends what conditions you have.,0.4,57.442093
You don't have to know.,You don't have to do anything to season it.,0.0,28.966629
I have the same thing.,I have the same situation and have traveled extensively.,0.4,29.927149
It's not a good idea.,I do not think it's a good idea.,0.8,83.41055
You are on the right path.,You are right on the mark.,0.8,46.86276
"This doesn't answer your question, but:",This is a part answer to your question,0.2,60.590042
How should I proceed about this?,So how should I do this?,0.8,45.225994
Does this page answer your question?,Does this answer your questions?,0.8,77.484116
"You can use it, too.",You can still use it for practice.,0.4,62.274506
It really depends on how the employer documents it.,It depends how you're stating it.,0.4,32.559277
I've had this same problem.,I've had this problem while working in a pubs.,0.4,58.80444
You need to read a lot to know what you like and what you don't.,You should tell a good story and sometimes you have to tweak reality/history to do so.,0.0,33.275795
"It depends on what you want to do next, and where you want to do it.",It depends on what you want to be able to do.,0.6,69.777855
"Yes, you have to file a tax return in Canada.",You are not required to file a tax return in Canada if you have no taxable income.,0.2,82.523155
I don't see why there should be any problem with this whatsoever.,I don't see why that should be a problem.,1.0,80.64502
Hope this is what you are looking for.,"If what you are looking for is much higher, they get the picture.",0.2,27.90063
The best thing you can do is to know your stuff.,The best thing to do is to overcome the fussiness.,0.0,32.33437
It depends on the dish and how amenable it is at the stage you make the mistake.,It depends on the sauce and the result you want.,0.4,47.337894
"You just have to base your answer on what you do know, which is what you want.",You have to do what is right for you.,0.4,34.207516
You PROBABLY don't have any chance at the moment.,"Saying ""thanks, I don't have any questions at the moment.""",0.0,19.130621
It really doesn't matter.,It doesn't matter unless it is really far off.,0.6,62.7496
You don't need to know everything.,You don't have to know.,0.6,66.50212
I think you're looking for Mikey (1992).,I think you're looking for the movie,0.6,48.702843
It makes absolutely NO difference.,"No, it makes no difference.",1.0,82.66993
I think it's fine to ask this question.,I think it is okay to ask the question.,1.0,83.2805
I'm going to be very direct here.,"I'm going to be blunt, here: You don't.",0.8,27.45331
"You just have to base your answer on what you do know, which is what you want.","Yes, you can do exactly what you want to do.",0.2,40.963745
You should do it.,You should prime it first.,0.0,43.4433
There's not a lot you can do about that.,I'm afraid there's not really a lot you can do.,1.0,70.14313
What kind of insulation is it?,What kind of floors are above?,0.0,31.17892
It depends entirely on your company and your contract.,I guess it depends on the nature of your contract.,0.8,88.2327
You answered your own question.,You've answered your own question already.,1.0,83.72595
I don't think that there's any.,I don't think there is any universal term.,0.6,28.987795
There are a few things you can do: ,There are a few minimally-effective things you can do at the personal level.,0.6,54.08037
This is the tip I find most useful:,Something like this is useful:  ,0.6,57.711037
That's what I believe.,"Yes, I believe it's a good idea.",0.4,26.331388
"If you are not sure how to do it, don't do it at all.","If not, don't do that and spend that time with something you like to do.",0.2,38.935303
It's all in her head.,It's all about adhesion.,0.0,24.488419
"If you are not sure how to do it, don't do it at all.","If you do not have a very strong scientific reason to do it, don't.",0.4,46.18652
You need to read a lot to know what you like and what you don't.,You have to know what you want to do.,0.0,54.657467
"I would say you can do it, but it wouldn't be advised.","Personally, I would say not unless it suits you.",0.4,44.801704
Can you do this?,Can you do it?,1.0,87.341324
"Sure, I've  done this very trip.",I've done this many dozens of times.,0.6,43.246956
"You can use it, too.","You can do it, too.",0.6,68.48596
How do you do that?,How to do that?,1.0,87.13958
I've located an article that might be of some help: http://www.dsattorney.com/qa-pseudonyms-in-contracts/,I found some link that might be of help to you:,0.6,13.623014
"I would say you can do it, but it wouldn't be advised.","I would say it is impossible to know, so don't risk it.",0.4,34.729843
Unfortunately the answer to your question is we simply do not know.,The answer to your question is not really.,0.2,57.75723
"If you are not sure how to do it, don't do it at all.","You don't, it will not work.",0.2,33.36377
It's also a matter of taste.,It's definitely just a matter of preference.,1.0,59.096695
It's not a good idea.,It's a good idea to do both.,0.2,46.580074
This answer is based on my experience teaching undergraduate math in the US.,This answer is based on experience I did not researched for references.,0.4,27.337955
There are a few things I think you should do.,There are quite a few things you would need to do;,0.8,59.083313
You will want to clean the area first.,You will also want to remove the seeds.,0.0,42.072258
It depends on what you want to have in your tank.,It depends on what you want to achieve.,0.4,34.727604
There are a couple of options that you could consider:,There are a lot of ways that could go poorly for you.,0.2,29.854853
You don't have to worry.,"Since you have one ticket, you don't have to worry.",0.6,55.90516
Vietnamese citizens need a visa to visit the USA.,Nepalese citizens require a visa to visit the UK.,0.2,21.902184
It depends on how it's used.,It depends on how long it's been out.,0.2,54.687996
I don't see why there should be any problem with this whatsoever.,I don't see why this could be a problem.,1.0,74.94794
There's not a lot you can do about that.,I really do not think there is much you can do about that.,1.0,84.17891
You got it right.,Yes you got it.,1.0,56.606262
"You just have to base your answer on what you do know, which is what you want.","Remember this is your degree we are talking about, its up to you what you want to do.",0.0,41.640156
How do you do that?,How should you do that?,0.8,76.93115
I was in a similar situation.,I am in a similar situation.,0.8,83.140755
What is your lid made of?,What is your paper for?,0.0,12.4401455
You don't need any visa.,You don't need sauce at all.,0.0,35.961006
"That is your problem, not your supervisor's.",Work with your supervisor and your team to solve the problem.,0.4,61.22287
"It depends on what you want to do next, and where you want to do it.",It's up to you what you want to do next.,0.8,62.108147
There are two things to consider:,A couple things to consider:,1.0,80.74876
It depends entirely on your company and your contract.,It depends on your company.,0.6,88.85201
"The wood probably isn't rotten, it's just worn out.",It's just worn out and not safe.,0.6,42.559387
"Well, I wouldn't put it on my cv.",I wouldn't put this job on my resume.,0.8,67.010994
This is a great one... ,This is a difficult one.,0.2,40.381405
The answer to both questions is: Yes.,To directly answer the two questions in your title.,0.0,34.58649
"Yes, there is a reason to not do what you propose.","Valid reasons to feel the way you do, but not a reason to resign.",0.4,32.64308
I think it is depends on the program.,It depends on how the term is used I think.,0.4,40.235527
Can you do this?,"So, CAN you do this?",1.0,78.69632
I think there isn't a general answer.,I don't think there is an answer for this.,0.8,59.15804
There are a few things you can do: ,There are a couple things you can try.,1.0,68.69441
"The key is you have to find something that works for you, and your goals.","You may want it, but the process given to you is what you have to work within.",0.2,34.68232
You don't have to know.,You don't have equipments/facilities to do research in B.,0.0,19.48356
I think you've pretty much done your review.,You've pretty much answered your own question.,0.4,25.329197
There are a few things I think you should do.,There are a few things I don't understand:,0.0,21.079857
You burn more Calories digesting protein than you do carbohydrates and fat.,"The more you sweat, the faster you will burn calories and fat.",0.4,46.082546
"It depends on what you want to do next, and where you want to do it.",It depends on what you want to say/imply.,0.2,37.655407
You got it right.,You've got it right.,1.0,83.50584
You answered your own question.,You pretty much answered your own question.,1.0,87.32933
I have the same thing.,I had the same problem as you.,0.6,61.410774
"Yes, there is a chemical difference.","Yes, there is a reason for it.",0.0,13.428789
"They can be out of level by a bit, but flat is important.","Yes, although they can be a bit sour.",0.0,27.796577
I would look at this: U.S.,I would look at this way: ,0.4,31.97765
You are on the right path.,You're on the right path.,1.0,95.995155
"If you haven't, you should.","You should, but you don't have to.",0.2,67.534164
Yes it is common!,The simple answer is yes!,0.6,27.165932
I don't think that there's any.,I don't think there are any benefits.,0.6,27.186357
It looks to me that this is set up for what you want:,It is up to you whether you want to do that.,0.4,41.22765
"Problem is, the system doesn't account for people who could care less about money, or title.",The Joker doesn't care about money.,0.2,36.205284
"In the first case, I think you don't need it.",So I don't think you need to put it on the cover.,0.2,34.455196
It is impossible to answer this question without a form check.,"It is difficult, if not impossible, to give a complete answer to this question.",0.4,56.149906
You need to add this to your resume because it is the only position you have had.,This gives you the opportunity to make your case that you really do have expertise in XXX.,0.4,27.159485
Work into it slowly.,You work on it slowly.,0.8,76.8727
"No, you do not NEED a bread machine.",You do not need to worry.,0.0,15.963045
"Yes, it is possible to publish a paper on model analysis.","Yes, it is hard to publish in a peer reviewed journal.",0.2,42.946236
"You just have to base your answer on what you do know, which is what you want.","So if that's what you need, you really do have to be explicit about it.",0.2,48.446106
"Yes, you should mention your experience.","Yes, you should make a résumé.",0.4,44.701683
I think it is great that you had a test conducted.,I think that's a great plan.,0.4,22.034294
You don't have to know.,Other than that you don't have a tax issue.,0.0,24.013672
"Yes, there is a rule against this.",There's no rule against it.,0.2,76.103806
What are your goals?,What are you goals?,1.0,98.20659
I'm going to go out on a limb here...,I'm going to be very direct here.,0.4,36.994064
"If your long stay visa for Switzerland is valid, then you will not need a transit visa.","You do not need a transit visa, but to enter Zurich you will need a visa.",0.4,78.31785
A few more point to think about:,A few things to think about:,1.0,64.542244
Now you don't have to be perfect on every answer.,You don't have to know.,0.4,26.073044
I'm afraid we are out of luck in this one.,I think this is one of those things where you are just out of luck.,1.0,60.873093
It is more deciding what you should do and what you should get others to do.,Point is: know what you want and don't be afraid to ask for it.,0.0,33.675365
It varies by the situation.,This varies by institution.,0.8,61.841248
I have the same thing.,I have the same problem.,0.8,75.09825
I have the same thing.,I have the exact same problem.,0.8,72.51953
You are on the right path.,You're right on about the sample definition.,0.0,6.564028
Primer/paint will not work.,Nope that will not work.,0.4,27.770338
The best thing you can do is to know your stuff.,The best thing you can do is find something else interesting to do while you wait on hold.,0.4,42.310017
It's also a matter of taste.,It's mostly a matter of taste.,1.0,89.3081
I was in a similar situation.,Personally when I was in a similar situation I sent the couple a card and a gift.,0.4,31.041687
"You can use it, too.","Yes, you can do it.",0.6,40.668987
You have to decide what you want to get out of this.,You have to find out what works for you.,0.8,44.142715
It depends on what they are.,It depends on how it's used.,0.2,56.869114
I had the same problem as you.,I have just had the same problem.,1.0,76.05707
Sometime if you really want it you might need to pay an agency to get the place for you.,You could probably get a tour agency to do it for you but it would cost you.,0.4,42.030037
You don't need to know everything.,They just don't want you to know it.,0.2,43.82042
Also it is useful to keep the consistency in your story.,It is important to keep the story in the scope of your limit.,0.4,60.939674
I think it's just a habit.,I think it's a bad idea.,0.2,33.97035
It's not a good idea.,"No, it's not a good thing.",0.8,61.005096
I'm thinking it's a bad idea. ,I think it's a bad idea.,1.0,88.56156
"It depends on what you want to do next, and where you want to do it.",You need to pick how and where you want to place your foot and do it.,0.2,31.600492
You have a problem.,This is a big problem.,0.8,53.003605
Unfortunately the answer to your question is we simply do not know.,"If the conversation is not about work, you know what the answer is to your own question.",0.4,20.387636
"Unfortunately, this question cannot be answered in its full generality.",This cannot be answered in general.,0.8,73.07226
I would personally beware of the Motley Fool.,I would recommend looking at The Motley Fool.,0.4,83.19098
I think there isn't a general answer.,I don't think there is a single definition.,0.8,28.297955
It's not a good idea.,Not a good idea.,1.0,87.19224
You don't need any visa.,You don't have to worry.,0.0,26.93161
You have to decide what you want to get out of this.,You're probably going to have to read various blogs to get all the information you want.,0.0,23.219889
I had the same problem as you.,I have exactly the same problem.,1.0,83.9959
"My answer to your question is ""Probably Not"".",The answer to your question is not really.,0.8,58.73531
You should do it.,You should never do it.,0.2,67.48186
I had the same problem as you.,I had the same issue.,0.8,83.12591
Hope this is what you are looking for.,Is this the kind of thing you're looking for ?,0.8,57.109898
There are two things to consider:,I think there are two important things to consider:,1.0,89.27551
It's pretty much up to you.,It is up to you.,1.0,84.18174
There are a few things you can do: ,There are a few things you need to consider:,0.8,61.912113
The answer to this and all such similar questions is in two stages:,The answer to both questions is: Yes.,0.2,50.323795
It is impossible to answer this question without a form check.,This is a part answer to your question,0.0,28.283638
There are a few things you can do: ,There are a few things I think you should do.,0.6,65.6961
"It depends on what you want to do next, and where you want to do it.",It depends on what and where you are going to do.,0.8,73.827
There are a few possible reasons.,There are a few reasons that paint wrinkles.,0.6,35.00906
There are three options:,There are only three options:,1.0,90.50943
So think it in this way.,Think of it this way.,1.0,76.752075
Maybe this could work for you.,Maybe this can work for you.,1.0,96.65272
"It depends on what you want to do next, and where you want to do it.","They can, but the way to do it depends on what you have available.",0.2,7.3331842
Microwave would be your best bet.,Your best bet is research.,0.0,19.645973
"In the US, it will depend on the school.",This will depend on the university.,0.8,80.11354
It's not a good idea.,"It's not just a good idea, it's an excellent idea.",0.2,77.49757
There are a few things I think you should do.,There are a few minimally-effective things you can do at the personal level.,0.8,37.02655
I've had this same problem.,I had this same situation.,0.6,72.69643
This is not a good idea.,Not a good idea.,1.0,83.8243
I realized there is already an accepted answer but I figure I would add my 2 cents.,I know this is an old question but I feel I should add my 2 cents.,1.0,60.007763
"Yes, there is a reason to not do what you propose.","Yes, there is a chemical difference.",0.0,10.2522545
"Yes, there is at least one to my knowledge.","To my knowledge, there's no time requirement.",0.2,22.885366
You don't have to worry.,You don't have to do anything to season it.,0.0,28.772905
There is no test that can tell you if it is sealed or not.,There is no code telling you that you cannot do this.,0.0,11.597487
"Yes, you should make a résumé.","Yes, you should talk to your professor.",0.0,44.50196
You shouldn't feel any obligation at all.,You don't need sauce at all.,0.0,30.161715
I've had this same problem.,I had this problem before.,0.8,86.50538
You may have to experiment and find what you like.,You have to find out what works for you.,1.0,38.03037
"My answer to your question is ""Probably Not"".",This is a part answer to your question,0.2,47.284233
The key thing to realize here is that it's not your job to make people do their work.,It really isn't your problem how they are going to find a qualified person to do the job.,0.2,54.702198
"Not a direct answer to the question, but something to consider.","Not a real answer to your question, but maybe it helps.",0.8,60.60736
There are two possible causes for this:,There are two options for you - ,0.2,11.005032
I agree with the other comments.,I agree with the previous comments.,1.0,87.95382
The answer to both questions is: Yes.,"If the answer to any of these questions is yes, a PhD may be worthwhile for you.",0.6,32.963074
It rather depends on which country you're in.,That depends on which country you are in.,1.0,89.094696
This is a terrible idea.,This is a bad idea.,1.0,89.718475
Vivendi shares closed 1.9 percent at 15.80 euros in Paris after falling 3.6 percent on Monday.,"In New York, Vivendi shares were 1.4 percent down at $18.29.",0.28,72.30996
Bremer said one initiative is to launch a US$70 million nationwide program in the next two weeks to clean up neighborhoods and build community projects.,"Bremer said he would launch a $70-million program in the next two weeks to clean up neighborhoods across Iraq and build community projects, but gave no details.",0.72,81.00505
Governor Gray Davis estimated yesterday that the fires could cost nearly $2 billion.,State officials estimated the cost at nearly $2 billion.,0.7,63.28593
The American Express Corp. has pledged at least $3 million of more than $5 million needed.,"The city had requested federal funds, but withdrew that request when American Express pledged at least $3 million.",0.64,73.11278
"Claudette, the first hurricane of the Atlantic storm season, hit the mid-Texas coast July 15 with 85-mph wind.","Claudette, the first hurricane of the Atlantic storm season, hit the mid-Texas coast July 15, classified as a Category 1 hurricane with maximum sustained winds of 85 mph.",0.8,96.079544
Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.,Wall Street was also waiting for aluminum maker Alcoa Inc. (nyse: PEP - news - people) to report earnings after the close.,0.4,48.446987
